frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,6.57,6.84,2.55,2.84,6.59,1.69,9.93,-0.01,-0.027,-0.04
2,6.53,6.8,2.43,2.78,6.17,1.83,9.49,-0.1,-0.008,-0.08
3,6.53,6.8,2.43,2.78,6.17,1.83,9.49,-0.1,-0.008,-0.08
4,6.44,6.71,2.41,2.75,6.33,1.85,9.9,-0.1,-0.01,-0.08
5,6.44,6.69,2.43,2.77,6.36,2.09,9.67,-0.08,-0.015,-0.08
6,6.56,6.78,2.3,2.64,6.41,1.75,10.24,-0.09,-0.014,-0.09
7,6.56,6.78,2.3,2.64,6.41,1.75,10.24,-0.09,-0.014,-0.09
8,6.42,6.67,2.48,2.8,6.41,2.01,10.01,-0.08,-0.019,-0.09
9,6.46,6.7,2.43,2.76,6.47,2.01,10.33,-0.07,-0.022,-0.09
10,6.4,6.63,2.44,2.78,6.42,2.09,10.35,-0.09,-0.024,-0.1
11,6.52,6.75,2.38,2.7,6.61,2.02,10.25,-0.08,-0.027,-0.11
12,6.56,6.81,2.32,2.65,6.58,1.8,10.07,-0.06,-0.029,-0.11
13,6.56,6.81,2.32,2.65,6.58,1.8,10.07,-0.06,-0.029,-0.11
14,6.46,6.69,2.39,2.7,6.59,1.57,10.53,-0.06,-0.029,-0.1
15,6.58,6.81,2.27,2.58,6.3,1.79,10.43,-0.05,-0.024,-0.09
16,6.58,6.83,2.33,2.66,6.26,2.08,10.14,-0.06,-0.026,-0.1
17,6.5,6.72,2.34,2.68,6.56,1.91,10.62,-0.07,-0.029,-0.11
18,6.5,6.72,2.34,2.68,6.56,1.91,10.62,-0.07,-0.029,-0.11
19,6.42,6.66,2.36,2.69,6.5,1.68,10.64,-0.07,-0.033,-0.11
20,6.58,6.8,2.4,2.72,6.08,1.81,9.88,-0.08,-0.03,-0.1
21,6.66,6.95,2.47,2.76,5.94,1.66,10.06,-0.08,-0.035,-0.1
22,7.2,7.41,2.29,2.55,6.28,1.73,11.18,-0.1,-0.036,-0.11
23,7.2,7.41,2.29,2.55,6.28,1.73,11.18,-0.1,-0.036,-0.11
24,6.96,7.31,2.45,2.69,6.24,5.82,12.46,-0.06,0.03,-0.08
1,6.28,6.55,2.57,2.88,6.12,2.88,11.89,-0.06,-0.081,-0.05
2,6.34,6.56,2.52,2.86,5.41,3.43,12.72,-0.01,-0.059,-0.05
3,6.09,6.2,2.5,2.82,7.4,5.35,12.47,-0.02,-0.098,-0.07
1,8.56,8.86,2.63,2.82,5.99,0.78,15.2,0.03,0.02,-0.11
2,8.61,8.88,2.84,3.0,4.44,0.9,13.23,0.06,-0.006,-0.11
3,8.61,8.88,2.84,3.0,4.44,0.9,13.23,0.06,-0.006,-0.11
4,8.66,8.82,2.83,2.96,5.04,1.56,11.14,0.09,-0.035,-0.13
1,6.52,6.8,2.64,2.98,5.34,1.68,11.3,-0.01,-0.063,-0.01
2,6.44,6.66,2.61,2.9,6.37,1.54,11.62,-0.04,-0.071,-0.01
3,6.31,6.53,2.67,2.92,6.22,1.02,11.6,-0.07,-0.086,-0.02
4,6.21,6.46,2.67,2.93,6.35,0.44,11.67,-0.08,-0.102,-0.02
1,5.83,6.16,2.25,2.61,6.61,2.36,13.2,-0.06,0.013,0.02
2,6.15,6.54,2.3,2.66,5.47,6.5,11.55,-0.14,0.052,0.01
3,6.15,6.54,2.3,2.66,5.47,6.5,11.55,-0.14,0.052,0.01
4,6.36,6.7,2.05,2.4,5.66,7.07,12.37,-0.16,0.068,0.01
5,6.22,6.55,2.08,2.44,6.22,6.85,12.88,-0.19,0.056,0.01
6,6.24,6.6,2.16,2.55,6.66,4.3,15.29,-0.22,0.052,0.03
7,6.28,6.58,2.37,2.78,6.61,2.06,14.51,-0.22,0.05,0.04
8,6.28,6.58,2.37,2.78,6.61,2.06,14.51,-0.22,0.05,0.04
9,6.71,6.98,2.36,2.75,6.34,1.39,14.44,-0.2,0.057,0.04
10,7.41,7.71,2.42,2.77,6.18,0.63,16.46,-0.17,0.05,0.02
11,7.49,7.75,2.39,2.74,6.04,0.68,16.82,-0.19,0.037,0.03
12,7.49,7.75,2.39,2.74,6.04,0.68,16.82,-0.19,0.037,0.03
13,7.55,7.84,2.31,2.65,6.83,0.72,17.19,-0.21,0.008,0.01
14,7.62,7.76,2.31,2.61,7.24,1.13,17.43,-0.22,-0.01,0.0
15,7.86,7.96,2.5,2.78,7.31,1.26,16.91,-0.22,-0.026,-0.03
16,8.11,8.17,2.56,2.78,7.04,1.33,15.65,-0.2,-0.038,-0.06
17,8.11,8.17,2.56,2.78,7.04,1.33,15.65,-0.2,-0.038,-0.06
18,8.2,8.31,2.34,2.6,7.04,1.36,17.1,-0.2,-0.026,-0.06
19,8.25,8.37,2.43,2.71,6.61,1.42,17.83,-0.19,-0.022,-0.05
20,7.99,8.11,2.36,2.68,7.44,1.19,16.8,-0.19,-0.037,-0.09
21,7.87,8.0,2.38,2.68,7.65,1.22,17.45,-0.22,-0.023,-0.11
22,7.96,8.06,3.33,3.56,7.37,1.54,15.94,-0.28,-0.016,-0.11
23,7.97,8.01,2.82,3.11,7.54,1.6,14.36,-0.3,-0.028,-0.13
24,7.73,7.7,3.1,3.31,6.73,1.59,13.82,-0.3,-0.006,-0.13
25,7.77,7.67,3.01,3.15,6.4,1.61,13.68,-0.24,0.039,-0.14
26,7.77,7.67,3.01,3.15,6.4,1.61,13.68,-0.24,0.039,-0.14
27,7.85,7.82,3.21,3.29,6.56,1.33,13.7,-0.16,0.114,-0.15
28,7.5,7.49,3.13,3.15,7.29,1.22,16.46,-0.13,0.145,-0.15
29,7.62,7.59,3.39,3.41,7.19,1.16,15.98,-0.15,0.15,-0.15
30,8.07,8.04,3.68,3.72,7.52,1.09,16.65,-0.15,0.185,-0.13
31,8.93,8.98,3.39,3.47,8.37,1.0,17.03,-0.17,0.193,-0.11
32,9.43,9.47,3.0,3.08,8.15,1.05,16.53,-0.18,0.165,-0.11
33,9.23,9.3,3.0,3.11,7.28,1.28,17.41,-0.21,0.204,-0.1
34,9.23,9.3,3.0,3.11,7.28,1.28,17.41,-0.21,0.204,-0.1
35,9.18,9.3,2.9,3.06,6.42,1.28,16.56,-0.21,0.226,-0.08
36,9.54,9.7,3.05,3.23,6.1,1.76,15.92,-0.26,0.286,-0.02
1,6.17,6.66,3.34,3.39,6.3,1.4,13.46,0.07,-0.005,-0.04
2,6.04,6.42,3.07,3.13,6.52,1.48,14.98,0.06,-0.016,-0.06
3,5.95,6.23,3.14,3.22,6.67,1.47,15.08,0.04,-0.033,-0.09
1,5.62,5.66,3.13,3.04,7.1,1.48,13.56,-0.03,-0.033,-0.02
2,5.56,5.65,3.12,3.01,7.06,1.47,12.78,-0.02,-0.04,-0.03
3,5.56,5.59,3.15,3.04,7.17,1.5,12.52,-0.02,-0.039,-0.02
4,5.56,5.59,3.15,3.04,7.17,1.5,12.52,-0.02,-0.039,-0.02
5,5.55,5.58,3.17,3.04,6.89,1.54,12.21,-0.01,-0.042,-0.02
6,5.53,5.58,3.24,3.08,7.33,1.52,11.85,-0.01,-0.033,-0.02
7,5.56,5.57,3.28,3.12,7.1,1.6,12.17,-0.02,-0.043,-0.01
8,5.62,5.62,3.31,3.14,7.3,1.61,12.12,-0.02,-0.042,0.0
9,5.62,5.62,3.31,3.14,7.3,1.61,12.12,-0.02,-0.042,0.0
10,5.71,5.69,3.29,3.14,7.28,1.6,12.25,-0.01,-0.039,0.02
11,5.68,5.72,3.25,3.12,7.16,1.59,11.81,0.01,-0.046,0.03
12,5.67,5.77,3.23,3.1,6.88,1.54,11.76,0.01,-0.043,0.04
13,5.65,5.71,3.32,3.22,6.95,1.55,12.63,0.02,-0.047,0.05
14,5.71,5.79,3.19,3.1,7.21,1.49,12.64,0.03,-0.04,0.06
15,5.73,5.82,3.23,3.13,6.66,1.53,11.79,0.03,-0.041,0.07
16,5.73,5.82,3.23,3.13,6.66,1.53,11.79,0.03,-0.041,0.07
17,5.62,5.69,3.33,3.24,6.92,1.51,11.18,0.03,-0.036,0.07
18,5.65,5.66,3.28,3.2,6.95,1.55,11.69,0.02,-0.039,0.06
19,5.63,5.66,3.16,3.07,7.02,1.55,12.14,0.01,-0.048,0.05
20,5.62,5.64,3.17,3.08,7.24,1.56,12.0,0.02,-0.052,0.05
21,5.65,5.62,3.29,3.16,7.17,1.55,11.17,0.01,-0.041,0.05
22,5.7,5.67,3.3,3.14,7.1,1.6,11.31,0.03,-0.048,0.07
23,5.7,5.67,3.3,3.14,7.1,1.6,11.31,0.03,-0.048,0.07
24,5.61,5.56,3.41,3.22,7.57,1.59,11.22,0.02,-0.028,0.08
25,5.97,5.97,3.36,3.14,7.43,1.57,11.14,0.02,-0.023,0.1
26,7.58,7.51,3.24,3.23,7.08,1.55,10.88,0.0,-0.031,0.09
27,7.87,7.85,3.2,3.21,7.09,1.54,10.52,0.0,-0.035,0.1
28,7.87,7.85,3.2,3.21,7.09,1.54,10.52,0.0,-0.035,0.1
29,7.89,7.87,3.24,3.25,7.12,1.54,10.31,0.0,-0.046,0.11
30,7.81,7.78,3.28,3.28,7.01,1.5,10.23,0.01,-0.051,0.13
31,7.95,7.91,3.3,3.31,6.89,1.44,9.78,0.02,-0.067,0.13
