frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
1,7.18,7.18,3.07,3.01,6.22,1.4,13.08,-0.01,0.057,0.13
2,7.18,7.21,2.98,2.91,6.27,1.45,13.09,-0.03,0.061,0.11
3,7.25,7.27,3.04,2.97,6.23,1.46,13.02,-0.03,0.063,0.11
4,7.2,7.22,3.0,2.93,6.24,1.46,13.1,-0.02,0.062,0.11
5,7.15,7.18,2.98,2.92,6.27,1.47,12.95,-0.03,0.058,0.11
6,7.24,7.26,2.96,2.89,6.26,1.46,13.05,-0.03,0.06,0.11
7,7.22,7.23,3.02,2.94,6.22,1.41,13.03,-0.03,0.063,0.1
8,7.17,7.19,3.04,2.97,6.29,1.48,13.03,-0.03,0.061,0.1
9,7.12,7.16,3.03,2.98,6.29,1.45,13.03,-0.03,0.058,0.11
10,7.22,7.25,2.93,2.87,6.28,1.52,13.07,-0.03,0.06,0.11
11,7.09,7.12,2.95,2.89,6.25,1.43,13.08,-0.03,0.058,0.11
12,7.13,7.18,2.88,2.84,6.33,1.54,13.05,-0.02,0.056,0.11
13,7.17,7.2,2.94,2.88,6.26,1.48,13.09,-0.03,0.059,0.11
14,7.08,7.13,2.83,2.76,6.33,1.46,13.07,-0.03,0.06,0.11
15,7.13,7.16,2.73,2.66,6.34,1.48,12.99,-0.03,0.061,0.11
16,7.05,7.08,2.82,2.76,6.33,1.51,13.1,-0.03,0.059,0.11
17,7.03,7.08,2.7,2.65,6.31,1.52,12.94,-0.03,0.06,0.11
18,7.03,7.08,2.7,2.65,6.31,1.52,12.94,-0.03,0.06,0.11
19,7.03,7.04,2.96,2.89,6.26,1.45,13.06,-0.03,0.063,0.11
20,7.05,7.09,2.78,2.72,6.33,1.49,12.98,-0.03,0.062,0.11
21,7.14,7.14,3.04,2.96,6.27,1.46,13.1,-0.03,0.065,0.11
22,7.21,7.2,3.03,2.95,6.25,1.44,13.03,-0.03,0.064,0.1
23,7.18,7.21,3.0,2.94,6.27,1.5,13.01,-0.03,0.062,0.11
24,7.18,7.22,2.97,2.91,6.31,1.49,13.1,-0.03,0.063,0.11
25,7.19,7.21,2.98,2.91,6.29,1.46,13.12,-0.03,0.066,0.11
26,7.27,7.29,3.02,2.95,6.22,1.44,13.12,-0.03,0.067,0.1
27,7.2,7.24,3.01,2.94,6.28,1.47,13.08,-0.03,0.064,0.1
28,7.21,7.24,3.01,2.94,6.28,1.45,13.18,-0.03,0.067,0.1
29,7.22,7.25,3.03,2.96,6.25,1.47,13.06,-0.03,0.065,0.1
30,7.26,7.28,3.03,2.95,6.26,1.47,13.11,-0.03,0.067,0.1
31,7.24,7.27,3.04,2.96,6.25,1.48,13.1,-0.03,0.066,0.1
32,7.23,7.26,3.01,2.95,6.27,1.46,13.13,-0.03,0.067,0.1
33,7.18,7.22,2.98,2.92,6.29,1.49,13.11,-0.03,0.064,0.11
34,7.18,7.21,3.01,2.95,6.3,1.49,13.09,-0.03,0.064,0.11
35,7.21,7.22,3.02,2.94,6.27,1.45,13.15,-0.02,0.067,0.11
36,7.24,7.25,3.03,2.95,6.26,1.47,13.14,-0.03,0.066,0.11
37,7.25,7.26,3.01,2.93,6.25,1.44,13.15,-0.03,0.068,0.1
38,7.18,7.21,3.0,2.94,6.28,1.48,13.16,-0.03,0.065,0.11
39,7.18,7.21,3.0,2.94,6.28,1.48,13.16,-0.03,0.065,0.11
40,7.24,7.27,3.03,2.97,6.23,1.43,13.2,-0.03,0.066,0.11
41,7.27,7.28,3.04,2.98,6.2,1.43,13.18,-0.03,0.065,0.11
42,7.27,7.29,3.01,2.96,6.21,1.43,13.25,-0.03,0.066,0.11
43,7.3,7.31,3.04,2.96,6.22,1.45,13.18,-0.03,0.066,0.11
44,7.3,7.32,2.99,2.92,6.24,1.45,13.05,-0.03,0.065,0.11
45,7.28,7.3,3.02,2.95,6.24,1.44,13.2,-0.04,0.067,0.1
46,7.28,7.3,3.02,2.96,6.24,1.47,13.2,-0.03,0.067,0.11
47,7.32,7.32,3.02,2.95,6.18,1.39,13.21,-0.03,0.069,0.1
48,7.32,7.33,3.02,2.94,6.27,1.5,13.13,-0.03,0.069,0.11
49,7.17,7.21,3.03,2.98,6.25,1.44,13.21,-0.04,0.067,0.11
50,7.21,7.24,3.05,2.99,6.23,1.44,13.25,-0.03,0.068,0.1
51,7.23,7.25,3.03,2.96,6.29,1.48,13.22,-0.03,0.067,0.11
52,7.3,7.31,3.04,2.97,6.21,1.42,13.18,-0.03,0.068,0.1
53,7.25,7.28,2.98,2.92,6.31,1.55,13.17,-0.03,0.067,0.11
54,7.2,7.22,2.98,2.92,6.33,1.48,13.16,-0.03,0.068,0.11
55,7.15,7.18,2.95,2.89,6.32,1.54,13.18,-0.03,0.066,0.11
56,7.14,7.19,2.94,2.89,6.31,1.57,13.18,-0.03,0.066,0.11
57,7.15,7.19,2.91,2.85,6.29,1.61,13.22,-0.03,0.069,0.11
58,7.13,7.17,2.91,2.86,6.32,1.61,13.17,-0.03,0.066,0.11
59,7.14,7.18,2.91,2.85,6.3,1.62,13.21,-0.03,0.067,0.11
60,7.06,7.11,2.94,2.9,6.32,1.59,13.17,-0.03,0.067,0.11
61,7.12,7.16,2.91,2.86,6.33,1.6,13.13,-0.03,0.067,0.11
62,7.12,7.16,2.91,2.86,6.33,1.6,13.13,-0.03,0.067,0.11
63,7.17,7.2,2.92,2.86,6.3,1.68,13.17,-0.03,0.068,0.11
64,7.13,7.17,2.88,2.83,6.3,1.61,13.15,-0.03,0.066,0.11
65,7.11,7.15,2.89,2.84,6.26,1.78,13.15,-0.03,0.065,0.11
66,7.12,7.16,2.94,2.89,6.26,1.52,13.02,-0.03,0.066,0.11
67,7.19,7.21,2.88,2.82,6.15,1.83,12.7,-0.03,0.067,0.1
68,7.14,7.16,2.91,2.85,6.06,1.52,11.95,-0.03,0.065,0.1
69,7.16,7.18,2.94,2.88,5.88,1.61,10.84,-0.02,0.064,0.1
70,7.08,7.12,2.88,2.85,5.89,1.75,10.57,-0.02,0.062,0.1
71,7.11,7.13,2.87,2.82,5.83,1.66,10.4,-0.02,0.064,0.1
72,7.05,7.1,2.83,2.8,5.88,1.72,10.57,-0.02,0.062,0.1
73,7.05,7.1,2.83,2.8,5.88,1.72,10.57,-0.02,0.062,0.1
74,7.06,7.09,2.84,2.8,5.92,1.53,10.56,-0.02,0.064,0.09
75,7.06,7.1,2.83,2.79,6.03,1.43,11.26,-0.03,0.064,0.09
76,6.98,7.03,2.86,2.81,6.2,1.27,12.49,-0.04,0.068,0.09
77,6.98,7.02,2.85,2.79,6.36,1.45,13.23,-0.05,0.07,0.1
78,6.98,7.03,2.89,2.83,6.26,1.51,13.37,-0.04,0.07,0.09
79,6.98,7.03,2.89,2.83,6.26,1.51,13.37,-0.04,0.07,0.09
80,6.94,6.99,2.83,2.79,6.3,1.73,13.32,-0.04,0.067,0.09
81,7.03,7.06,2.75,2.69,6.21,1.39,13.28,-0.03,0.065,0.09
82,6.96,7.0,2.78,2.74,6.14,1.57,12.36,-0.04,0.063,0.09
83,7.03,7.06,2.72,2.68,6.05,1.56,11.8,-0.03,0.065,0.09
84,6.96,7.0,2.72,2.68,6.21,1.39,12.15,-0.03,0.062,0.09
85,6.94,6.97,3.04,2.98,6.3,1.54,13.26,-0.04,0.066,0.09
86,6.94,7.0,2.81,2.77,6.41,1.8,13.49,-0.04,0.065,0.1
87,6.99,7.04,2.76,2.71,6.36,1.65,13.45,-0.03,0.069,0.09
88,6.96,7.02,2.9,2.85,6.38,1.93,13.47,-0.04,0.066,0.1
89,6.98,7.03,2.83,2.78,6.31,1.63,13.37,-0.03,0.067,0.1
90,6.95,7.0,2.85,2.8,6.38,2.07,13.38,-0.04,0.067,0.1
1,6.95,7.01,2.85,2.8,6.35,2.17,13.33,-0.04,0.066,0.1
2,6.95,7.01,2.75,2.7,6.35,1.87,13.21,-0.04,0.068,0.09
3,7.01,7.05,2.75,2.69,6.29,2.12,13.12,-0.04,0.07,0.09
4,7.02,7.08,2.72,2.67,6.25,1.84,12.91,-0.04,0.068,0.09
5,7.48,7.51,2.31,2.24,6.14,1.94,13.03,-0.04,0.07,0.08
6,7.59,7.63,2.12,2.07,6.05,1.87,13.44,-0.04,0.071,0.06
7,8.25,8.25,2.12,2.03,5.87,1.88,13.3,-0.03,0.078,0.04
8,7.75,7.77,2.27,2.19,6.0,1.82,13.16,-0.03,0.085,0.01
9,7.32,7.37,2.6,2.56,6.06,1.93,12.86,-0.02,0.088,-0.02
10,6.98,7.03,2.66,2.6,6.21,1.93,12.35,-0.02,0.1,-0.06
11,7.03,7.1,2.48,2.46,6.27,1.84,12.24,-0.01,0.104,-0.1
12,7.03,7.11,2.53,2.52,6.34,1.68,11.82,0.0,0.118,-0.15
13,6.84,6.94,2.52,2.55,6.34,1.92,11.67,0.01,0.14,-0.22
14,6.9,6.99,2.52,2.56,6.32,1.8,11.36,0.03,0.15,-0.26
15,6.7,6.8,2.62,2.68,6.21,1.82,11.23,0.05,0.144,-0.28
16,6.75,6.85,2.71,2.79,6.13,1.9,11.19,0.05,0.154,-0.28
17,6.72,6.84,2.8,2.88,6.17,1.85,11.29,0.05,0.158,-0.29
18,6.78,6.89,2.77,2.87,6.1,1.97,11.16,0.05,0.16,-0.29
19,6.73,6.84,2.7,2.78,6.14,1.78,10.93,0.04,0.171,-0.29
20,6.59,6.69,2.66,2.74,6.08,1.6,10.85,0.04,0.187,-0.29
21,6.7,6.81,2.67,2.75,6.14,1.59,10.82,0.04,0.189,-0.27
22,6.58,6.69,2.86,2.93,6.1,1.89,11.02,0.03,0.199,-0.26
23,6.56,6.68,2.69,2.78,6.16,1.77,10.87,0.02,0.212,-0.26
24,6.58,6.68,2.87,2.95,6.15,1.96,11.11,0.02,0.218,-0.25
25,6.75,6.86,2.42,2.51,6.15,1.64,11.1,0.02,0.218,-0.26
26,6.52,6.64,2.69,2.77,6.24,1.97,11.33,0.01,0.227,-0.26
27,6.54,6.64,2.82,2.88,6.22,1.74,11.26,0.0,0.235,-0.27
28,6.52,6.61,2.73,2.82,6.16,1.64,11.06,0.01,0.227,-0.26
29,6.55,6.66,2.56,2.64,6.11,1.34,10.82,0.02,0.213,-0.27
30,6.55,6.66,2.56,2.64,6.11,1.34,10.82,0.02,0.213,-0.27
31,6.74,6.82,2.51,2.52,6.21,1.33,10.95,0.02,0.212,-0.26
32,7.29,7.32,2.34,2.32,6.05,1.33,11.19,0.02,0.216,-0.25
33,7.53,7.57,2.08,2.02,5.88,1.29,11.39,0.01,0.221,-0.25
34,7.33,7.42,2.37,2.35,5.88,1.2,11.83,0.0,0.213,-0.22
35,7.36,7.41,2.05,1.99,5.96,1.23,11.84,-0.01,0.217,-0.19
36,7.02,7.06,2.36,2.3,5.98,1.26,11.25,-0.03,0.219,-0.17
37,7.02,7.06,2.36,2.3,5.98,1.26,11.25,-0.03,0.219,-0.17
38,7.05,7.12,2.26,2.23,6.12,1.24,11.13,-0.04,0.219,-0.14
39,7.02,7.05,2.61,2.55,6.11,1.41,11.24,-0.05,0.222,-0.13
40,6.87,6.94,2.48,2.44,6.2,1.51,11.31,-0.05,0.222,-0.11
41,6.86,6.95,2.47,2.46,6.19,1.46,11.34,-0.05,0.215,-0.09
42,6.82,6.91,2.85,2.83,6.18,1.91,11.68,-0.07,0.217,-0.08
43,6.77,6.86,2.55,2.5,6.15,1.54,11.43,-0.08,0.224,-0.07
